    entiteitnummer;haltenummer;omschrijving;omschrijvinglang;gemeentenummer;omschrijvinggemeente;geocoordinaat;haltetoegankelijkheden;hoofdhalte;taal;links;latitude;longitude;locatie
2;235421;Vinderhoutse Bossen;Drongen Vinderhoutse Bossen;4617;Gent;"{""latitude"": 51.069376, ""longitude"": 3.653602}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/235421""}]";51.069376;3.653602;51.069376, 3.653602
2;250134;Gentbruggestraat;Sint-Amandsberg Gentbruggestraat;4616;Gent;"{""latitude"": 51.050433, ""longitude"": 3.753358}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250134""}]";51.050433;3.753358;51.050433, 3.753358
2;250161;Maaltebruggestraat;Gent Maaltebruggestraat;4612;Gent;"{""latitude"": 51.024628, ""longitude"": 3.706181}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250161""}]";51.024628;3.706181;51.024628, 3.706181
2;250186;Klaverdries;Drongen Klaverdries;4617;Gent;"{""latitude"": 51.050788, ""longitude"": 3.656604}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250186""}]";51.050788;3.656604;51.050788, 3.656604
2;250219;Dienstencentrum;Sint-Amandsberg Dienstencentrum;4616;Gent;"{""latitude"": 51.062435, ""longitude"": 3.74992}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250219""}]";51.062435;3.74992;51.062435, 3.74992
2;250242;Achtenkouterstraat;Sint-Amandsberg Achtenkouterstraat;4615;Gent;"{""latitude"": 51.077589, ""longitude"": 3.780448}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250242""}]";51.077589;3.780448;51.077589, 3.780448
2;250246;Manchesterstraat;Gent Manchesterstraat;4612;Gent;"{""latitude"": 51.07937, ""longitude"": 3.731966}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250246""}]";51.07937;3.731966;51.07937, 3.731966
2;250252;Krijtekerkweg;Oostakker Krijtekerkweg;4615;Gent;"{""latitude"": 51.084286, ""longitude"": 3.771019}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250252""}]";51.084286;3.771019;51.084286, 3.771019
2;250255;Zalegemstraat;Oostakker Zalegemstraat;4615;Gent;"{""latitude"": 51.095776, ""longitude"": 3.776564}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250255""}]";51.095776;3.776564;51.095776, 3.776564
2;250269;Zuid perron bypass 2023;Gent Zuid perron bypass 2023;4612;Gent;"{""latitude"": 51.048011, ""longitude"": 3.731754}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250269""}]";51.048011;3.731754;51.048011, 3.731754
2;250350;Van Beverenplein;Gent Van Beverenplein;4612;Gent;"{""latitude"": 51.072058, ""longitude"": 3.709871}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250350""}]";51.072058;3.709871;51.072058, 3.709871
2;250352;Magnoliastraat;Gent Magnoliastraat;4612;Gent;"{""latitude"": 51.065766, ""longitude"": 3.707405}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250352""}]";51.065766;3.707405;51.065766, 3.707405
2;250362;Fratersplein;Gent Fratersplein;4612;Gent;"{""latitude"": 51.062733, ""longitude"": 3.725016}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250362""}]";51.062733;3.725016;51.062733, 3.725016
2;250382;Ter Linden;Zwijnaarde Ter Linden;4624;Gent;"{""latitude"": 51.001649, ""longitude"": 3.711993}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250382""}]";51.001649;3.711993;51.001649, 3.711993
2;250405;Pantserschipstraat;Gent Pantserschipstraat;4611;Gent;"{""latitude"": 51.089397, ""longitude"": 3.725131}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250405""}]";51.089397;3.725131;51.089397, 3.725131
2;250448;Bijlokehof;Gent Bijlokehof;4612;Gent;"{""latitude"": 51.044907, ""longitude"": 3.71448}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250448""}]";51.044907;3.71448;51.044907, 3.71448
2;250482;Hundelgemsesteenweg;Ledeberg Hundelgemsesteenweg;4621;Gent;"{""latitude"": 51.035068, ""longitude"": 3.738408}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250482""}]";51.035068;3.738408;51.035068, 3.738408
2;250513;Rooigemlaan;Gent Rooigemlaan;4612;Gent;"{""latitude"": 51.06287, ""longitude"": 3.694374}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250513""}]";51.06287;3.694374;51.06287, 3.694374
2;250528;Ruststraat;Gent Ruststraat;4612;Gent;"{""latitude"": 51.030162, ""longitude"": 3.729135}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/250528""}]";51.030162;3.729135;51.030162, 3.729135
2;251132;Tweekapellebnstraat;Gentbrugge Tweekapellebnstraat;4619;Gent;"{""latitude"": 51.043759, ""longitude"": 3.755929}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251132""}]";51.043759;3.755929;51.043759, 3.755929
2;251140;Steendam;Gent Steendam;4612;Gent;"{""latitude"": 51.056767, ""longitude"": 3.733379}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251140""}]";51.056767;3.733379;51.056767, 3.733379
2;251163;Sint-Sebastiaanstraat;Wondelgem Sint-Sebastiaanstraat;4611;Gent;"{""latitude"": 51.088862, ""longitude"": 3.716627}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251163""}]";51.088862;3.716627;51.088862, 3.716627
2;251214;Snellaertplein;Sint-Amandsberg Snellaertplein;4616;Gent;"{""latitude"": 51.070208, ""longitude"": 3.758175}";;;?;"[{""rel"": ""detail"", ""url"": ""https://api.delijn.be/DLKernOpenData/api/v1/haltes/2/251214""}]";51.070208;3.758175;51.070208, 3.758175
