gemeente,route_id,route_name
4617,834,Gent Sint-Pieters - Drongen - Leerne - Nevele-Lotenhulle
4617,962,Regio Gent (West)
4617,194,Arteveldestadion - Sint-Pietersstation - Blaarmeersen
4617,500,Gent Sint-Pieters - Drongen - Eeklo - Maldegem - Brugge
4617,839,Snelbus Gent Sint-Pieters - Drongen Mirto
4617,681,Gent Rabot - Vinderhoute - Belzele - Evergem
4617,127,Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries
4617,111,Blaarmeersen - Korenmarkt - Dampoort - Gentbrugge
4617,128,Drongen Varendries - Korenmarkt - P+R Oostakker - Oostakker
4617,833,Gent Sint-Pieters - Drongen - Leerne - Deinze
4617,961,Regio Gent (Oost)
4616,738,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Overslag
4616,741,Gent Sint-Pieters - Oostakker Edugo - Zaffelare - Lokeren
4616,775,Deinze - St.-Martens-Latem - Gent - Lochristi - Beervelde
4616,103,Mariakerke - Korenmarkt - Dampoort - Snellaertplein
4616,715,Deinze - Nazareth - Zwijnaarde Klosse - Gent - Oostakker
4616,111,Blaarmeersen - Korenmarkt - Dampoort - Gentbrugge
4616,335,Melle - Flora - Zuid - Dampoort - Destelbergen
4616,785,Deinze - St.-Martens-Latem - Gent - Lochristi - Lokeren
4616,345,(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren
4616,348,Gent Sint-Pieters - Destelbergen - Beervelde - Lokeren
4616,765,De Pinte - Gent - Lochristi - Wachtebeke
4616,349,Gent Sint-Pieters - Destelbergen - Kalken - Overmere-Zele
4616,127,Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries
4616,128,Drongen Varendries - Korenmarkt - P+R Oostakker - Oostakker
4616,961,Regio Gent (Oost)
4616,161,Zuid - Macharius - Sint-Baafskouter
4616,705,Zwijnaarde Technologiepark - Gent - Oostakker
4616,737,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Zelzate
4612,834,Gent Sint-Pieters - Drongen - Leerne - Nevele-Lotenhulle
4612,194,Arteveldestadion - Sint-Pietersstation - Blaarmeersen
4612,839,Snelbus Gent Sint-Pieters - Drongen Mirto
4612,715,Deinze - Nazareth - Zwijnaarde Klosse - Gent - Oostakker
4612,716,Zingem - Lozer - Nazareth - Zevergem - Gent Sint-Pieters
4612,205,Gent Sint-Pieters - Melle - Oordegem -Erpe Vijfhuizen -Aalst
4612,335,Melle - Flora - Zuid - Dampoort - Destelbergen
4612,345,(Leerne/De Pinte-) Gent - Destelbergen - Laarne-Wetteren
4612,348,Gent Sint-Pieters - Destelbergen - Beervelde - Lokeren
4612,605,Gent Rabot - Lovendegem - Zomergem (- Ursel)
4612,349,Gent Sint-Pieters - Destelbergen - Kalken - Overmere-Zele
4612,224,Gent Zuid - Melle Vogelhoek - Melle Station - Oosterzele
4612,737,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Zelzate
4612,97,Wondelgem - Kolegem - Sint-Pietersstation - Gentbrugge
4612,481,Gent Sint-Pieters - Merelbeke - Gavere - Zottegem
4612,98,Wondelgem - Mariakerke - Sint-Pietersstation - Gentbrugge
4612,738,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Overslag
4612,741,Gent Sint-Pieters - Oostakker Edugo - Zaffelare - Lokeren
4612,486,Gent Sint-Pieters - Merelbeke - Gavere - Meilegem
4612,103,Mariakerke - Korenmarkt - Dampoort - Snellaertplein
4612,491,Gent Sint-Pieters - Merelbeke - Lemberge - Herzele
4612,237,Gent Sint-Pieters - Heusden - Wetteren - Dendermonde
4612,238,Gent Sint-Pieters - Melle - Wetteren - Dendermonde
4612,111,Blaarmeersen - Korenmarkt - Dampoort - Gentbrugge
4612,495,Gent Sint-Pieters - Merelbeke - Herzele (-Geraardsbergen)
4612,239,Snelbus Gent Sint-Pieters - Melle - Kwatrecht Mariagaard
4612,500,Gent Sint-Pieters - Drongen - Eeklo - Maldegem - Brugge
4612,765,De Pinte - Gent - Lochristi - Wachtebeke
4612,127,Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries
4612,128,Drongen Varendries - Korenmarkt - P+R Oostakker - Oostakker
4612,1,Muidebrug - Gent Korenmarkt - Gentbrugge Stelplaats
4612,2,Flanders Expo - Sint-Pieters - Zuid - Ledeberg - Stelplaats
4612,3,Stelplaats - Ledeberg - Zuid - Sint-Pieters
4612,775,Deinze - St.-Martens-Latem - Gent - Lochristi - Beervelde
4612,907,Snelbus Gent Sint-Pieters - Mariakerke VISO-AHS
4612,908,Gent Sint-Pieters - Rooigem - Mariakerke VISO-AHS
4612,909,Gent Rabot - Mariakerke VISO-AHS
4612,785,Deinze - St.-Martens-Latem - Gent - Lochristi - Lokeren
4612,401,Gent Zuid - Flora - Merelbeke - Bottelare - Baaigem
4612,405,Gent Zuid - Merelbeke Kwenenbos (- Bottelare - Baaigem)
4612,24,Melle Leeuw - Gentbrugge Stelplaats
4612,408,Gent Zuid - Baaigem - Munkzwalm - Brakel
4612,27,Melle Leeuw - Zuid - Korenmarkt - Wondelgem - Evergem
4612,28,Melle Leeuw - Zuid - Korenmarkt - Wondelgem
4612,415,Gent Zuid - Merelbeke - Gavere - Oudenaarde
4612,32,Zwijnaarde - Sint-Pieters - Zuid - Ledeberg - Stelplaats
4612,161,Zuid - Macharius - Sint-Baafskouter
4612,35,Zwijnaarde - Sint-Pietersstation - Kouter - Zuid - Moscou
4612,681,Gent Rabot - Vinderhoute - Belzele - Evergem
4612,42,Gent UZ - Sint-Pieters - Rabot - Muide - Lange Steenstraat
4612,426,Gent Zuid - Merelbeke - Melle
4612,555,Gent Sint-Pieters - Langerbrugge - Ertvelde - Zelzate
4612,561,Gent Sint-Pieters - Evergem - Sleidinge - Watervliet
4612,562,Gent Sint-Pieters - Evergem - Sleidinge-Waarschoot-Eeklo
4612,563,Gent Zuid - Evergem - Ertvelde - Assenede - Boekhoute
4612,564,Gent Zuid - Evergem - Ertvelde - Oosteeklo - Bassevelde
4612,436,Gent Sint-Pieters - Merelbeke Flora - Merelbeke Kwenenbos
4612,565,Gent Zuid - Evergem - Doornzele
4612,566,Gent Zuid - Evergem - Sleidinge - Kaprijke - Eeklo
4612,55,Gent UZ - Gentbrugge Stelplaats
4612,57,Nieuw Gent - Zuid - Van Beverenplein - Wondelgem Station
4612,58,Nieuw Gent - Zuid - Meulestede
4612,65,Zuid - Sint-Jacobs - Ham - P+R Muide
4612,705,Zwijnaarde Technologiepark - Gent - Oostakker
4612,961,Regio Gent (Oost)
4612,833,Gent Sint-Pieters - Drongen - Leerne - Deinze
4612,45,Gent Lange Steenstraat - Muide - Rabot - Sint-Pieters - UZ
4615,738,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Overslag
4615,741,Gent Sint-Pieters - Oostakker Edugo - Zaffelare - Lokeren
4615,775,Deinze - St.-Martens-Latem - Gent - Lochristi - Beervelde
4615,715,Deinze - Nazareth - Zwijnaarde Klosse - Gent - Oostakker
4615,795,Oostakker - Desteldonk - Wachtebeke - Zelzate
4615,765,De Pinte - Gent - Lochristi - Wachtebeke
4615,127,Leerne - Drongen - Korenmarkt - P+R Oostakker - Achtendries
4615,128,Drongen Varendries - Korenmarkt - P+R Oostakker - Oostakker
4615,961,Regio Gent (Oost)
4615,705,Zwijnaarde Technologiepark - Gent - Oostakker
4615,737,Gent Sint-Pieters - Oostakker Edugo - Wachtebeke - Zelzate
4615,785,Deinze - St.-Martens-Latem - Gent - Lochristi - Lokeren
4624,962,Regio Gent (West)
4624,35,Zwijnaarde - Sint-Pietersstation - Kouter - Zuid - Moscou
4624,486,Gent Sint-Pieters - Merelbeke - Gavere - Meilegem
4624,491,Gent Sint-Pieters - Merelbeke - Lemberge - Herzele
4624,715,Deinze - Nazareth - Zwijnaarde Klosse - Gent - Oostakker
4624,427,Oudenaarde - Zwijnaarde - Gent
4624,716,Zingem - Lozer - Nazareth - Zevergem - Gent Sint-Pieters
4624,495,Gent Sint-Pieters - Merelbeke - Herzele (-Geraardsbergen)
4624,500,Gent Sint-Pieters - Drongen - Eeklo - Maldegem - Brugge
4624,765,De Pinte - Gent - Lochristi - Wachtebeke
4624,32,Zwijnaarde - Sint-Pieters - Zuid - Ledeberg - Stelplaats
4624,961,Regio Gent (Oost)
4624,481,Gent Sint-Pieters - Merelbeke - Gavere - Zottegem
4624,705,Zwijnaarde Technologiepark - Gent - Oostakker
4611,98,Wondelgem - Mariakerke - Sint-Pietersstation - Gentbrugge
4611,681,Gent Rabot - Vinderhoute - Belzele - Evergem
4611,555,Gent Sint-Pieters - Langerbrugge - Ertvelde - Zelzate
4611,561,Gent Sint-Pieters - Evergem - Sleidinge - Watervliet
4611,562,Gent Sint-Pieters - Evergem - Sleidinge-Waarschoot-Eeklo
4611,563,Gent Zuid - Evergem - Ertvelde - Assenede - Boekhoute
4611,564,Gent Zuid - Evergem - Ertvelde - Oosteeklo - Bassevelde
4611,565,Gent Zuid - Evergem - Doornzele
4611,566,Gent Zuid - Evergem - Sleidinge - Kaprijke - Eeklo
4611,24,Melle Leeuw - Gentbrugge Stelplaats
4611,57,Nieuw Gent - Zuid - Van Beverenplein - Wondelgem Station
4611,58,Nieuw Gent - Zuid - Meulestede
4611,27,Melle Leeuw - Zuid - Korenmarkt - Wondelgem - Evergem
4611,28,Melle Leeuw - Zuid - Korenmarkt - Wondelgem
4611,97,Wondelgem - Kolegem - Sint-Pietersstation - Gentbrugge
4611,961,Regio Gent (Oost)
4621,2,Flanders Expo - Sint-Pieters - Zuid - Ledeberg - Stelplaats
4621,98,Wondelgem - Mariakerke - Sint-Pietersstation - Gentbrugge
4621,3,Stelplaats - Ledeberg - Zuid - Sint-Pieters
4621,35,Zwijnaarde - Sint-Pietersstation - Kouter - Zuid - Moscou
4621,426,Gent Zuid - Merelbeke - Melle
4621,205,Gent Sint-Pieters - Melle - Oordegem -Erpe Vijfhuizen -Aalst
4621,237,Gent Sint-Pieters - Heusden - Wetteren - Dendermonde
4621,238,Gent Sint-Pieters - Melle - Wetteren - Dendermonde
